d100,1)Evil_Items,2)Helpful_Items,3)Mixed_Items,4)Small_Items,5)Potions,6)Holy_Rings,7)Gnome_Items,8)Wild_Items,9)Good_Items,10)Powerful_Items,11)Legendary_Items
27,"Grave-breaker's Rod- this whittled-down, bloody dragonhorn has been scrimshawed with blasphemous prayers to Orcus. It is a +3 quarterstaff, which stores 8 charges and regains all charges once night falls. By expending 1 or more charges as an action, it can be used to strike the ground, creating a chasm stretching outward from your location in a direction of your choosing that is 5 ft wide, 100 ft long, and 200 ft deep. Creatures other than yourself within 5 ft of the chasm are affected by the earth tremor spell. Those who roll a 1 on their saving throw fall directly into the chasm; otherwise, they are pushed to the closest unoccupied space that isn't in the chasm. Furthermore, for every charge expended, you summon an ogre skeleton with immunity to necrotic damage at an unoccupied point within 5 ft of the chasm; alternatively, for every 3 charges expended, you may instead summon a wraith at an unoccupied point within 5 ft of the chasm. Requires attunement.","Deodorant Soap - A bar of soap that, when used to wash one’s body, eliminates body odor and grants +1 to Stealth and Persuasion. Lasts for 1 day.","A waterskin that can hold 5 gallons of water (40 pints), but weighs the same as a standard waterskin that holds 4 pints (5 lbs).","A Copper ring that disappears every other day, only to reappear the following day on the finger it was put on.",Your fingers become completely flaccid for 1d4 hours. You cannot hold anything in your hands.,You are immune to all forms of non magical disease.,"Ear Trumpet - 15 g Allows reroll of a Perception check based on sound, if first roll triggered awareness of the sound.","Spite Wisp - A glowing orb that materialises near to you whenever anybody gets badly hurt (STR Damage). If you will it, it will begin to attack the victim with sparks (d6), disappearing when they are subdued or killed.",Adamantine armor (chain shirt),Armor of resistance (chain shirt),Belt of fire giant strength
28,"On the Thoughts of Ebherrad, the Mad Mage - This fine tome is bound in red leather, and details the work of a mage who lived long ago, who believed that unlocking the secrets of reality first involved unlocking the secrets of the human psyche. As he recounted when he first began his studies, ""To understand reality, we must first understand how we perceive it"". Detailed within the tome are many years worth of gruesome experiments performed on the minds of still living subjects, as well as a number of unique spells and rituals related to altering the senses and controlling the mind. As the reader continues on in the book, they find themselves beginning to experience enlightenments on the subjects at hand, not just learning from reading them but remembering as if they performed this research themselves. The further one reads, the more driven they are to finish the book, as their sanity degrades, their personality shifts, and their obsession with the secrets of the psyche becomes greater and greater. Upon completion of the tome, the reader's mind has been completely overwritten, replaced with that of the Mad Mage himself, who now walks the world once again. Research notes in hand, he is eager to get back to his work.","Dog Whistle - When blown, this whistle makes no noise. 1d4 rounds of combat later, a dog appears and does 1 thing:",A bell that awakens anyone within 30 feet when rung.,A small drawing of a young man chopping wood that changes a little whenever noone is looking at it.,You begin to have dark visions of an elder god. You fall under the effects of Fear for 1d4 hours.,You are immune to all magical diseases but not non magical diseases.,Fine Saddle - 100 g Allows advantage on CON saving throws for Exhaustion when traveling more than 8 hours mounted.,"Threatening Probe - Has no function, but glows and vibrates in a way that suggests it could be used for distributing extreme pain.",Adamantine armor (scale mail),"Armor,+ 1 chain shirt",Belt of frost (or stone) giant strength
29,"Gordon's Tarp Trap - A tarp that looks like any other traveling tarp that you might sleep under. It can be set to go off in a number of days or keyed to a victim, given the victim's hair. When the weary traveler finally begins to sleep, the tarp will physically trap them, camouflage them to hide the victims from view, and attempt to keep the victim asleep until the controller of the tarp checks their trap.","Edible Hat - A hat made of edible fibers--probably cornsilk, but possibly hair. Whatever the material, this is a magic hat that gives the consumer 1 usage of Inspiration if they say out loud, ""If I'm wrong, I'll eat my hat!"" and then eat the hat. Eating the hat takes place over 1d4 rounds of combat, during which the character can only use Movement or Dodge actions.",A torc engraved with horses that allows you to march an extra hour a day without having to make an exhaustion check.,A gold ring with a gemstone that always levitates slightly out of the socket. The gem cannot be removed.,All tattoos on your body vanish.,You are immune to the Stunned condition.,"Firecracker - 2 g Fuse can be lit for 6 or 12 second (1 or 2 rounds). To light, requires action or open flame with free action. On detonation, does 1d4 damage plus noise that can be heard for 200 ft diameter.","Caged Biter - A monkey-like creature (STR 5, 5hp, d6 bite) in a cage. Once released it attacks its designated target and fights to the death, ignoring any further commands. If it wins, it eats some of its opponent before slinking back to its cage. It won't follow any other commands.",Bag of tricks (gray),Cloak of displacement,Sphere of annihilation
30,"The Mummified Heart of Granny Zelda: A small wooden box contains the mummified heart of a once VERY powerful hag. If you drop a single drop of your own blood onto the heart, it begins beating again. The heart grants you resistance to necrotic damage for 1d4 hours.","Ethereal Striders - Boots, Very Rare. As your move action you can instead teleport. In order to teleport, choose how far you want to travel, then do an Arcana check. The DC equals 5+1 for each five feet (1 square) traveled. If you do not succeed on the DC check your teleport fails. Has 3 charges, refills charges every day at dawn.",A pair of glasses that gives you 10' darkvision.,A ring that turns the finger it's on invisible.,"Spiked vines begin growing out of your body for 1d4 days. If a creature touches you, they take 1d4 damage.",You are immune to the Paralyzed condition.,Gas Mask - 25 g Provides resistance to poisonous gas.,"Saucer Scar - You don't remember getting it. In the presence of artificial light it tingles, and you can will yourself to levitate slowly towards the light.",Bag of tricks (rust),Cloak of the bat,Armor of resistance (breastplate)
31,The Rogue's Reckoning: A magical cape (+1 Dex base stat). This cape is a frayed but of extremely detailed make. It's edges covered with unidentified and constantly shifting texts (riddles). Once attuned it grants the user a +1 for the Dex base stat but more importantly: once the user performs the hide action they will enter a pocket dimension inside the Cape. The rogue will not be able to leave the dimension untill one of the riddles is solved by someone outside this pocket dimension.,"Fairy Dragon Coffee - For one round of combat, the drinker’s speed is tripled, they have +5 to AC, they have advantage on Dexterity saving throws, and the character can do 3 Actions. But in the next round, the character takes 1 point of exhaustion.",A sewing needle that will finish sewing any seam you started on its own.,"A dodecahedron made of glass that when activated projects a night sky, complete with shooting stars and constellations.","You grow a third eye in the center of your forehead, increasing your perception skill by 2.",You are immune to the Petrified condition.,Lightning Rod - 50 g 8 ft metal-tipped pole with grounding wire. Place in ground as an action. Provides resistance from lightning damage for any characters within a 10 ft radius. Destroyed if hit with more than 10 points of damage in one round.,Maiming Claw - A grappling hook that latches onto living tissue with an unbreakable grip. You know the trick for getting it to release.,Bag of tricks (tan),Cube of force,Candle of invocation
32,"Master Belish's Ring of Punishment - Needs attunement. Whenever a creature that you can see, critically misses an attack within 60ft radius of you, you can use your reaction or the bonus action of your next round inflict 2d6+3 psychic damage to the creature and give it disadvantage on the next attack on a failed WIS saving throw or half damage and advantage on the next attack on a success, since it learned its lesson.","Figurine of Wondrous Power: Ruby Chicken - This figurine can become a Large chicken for 24 hours, strong enough to be ridden and carry up to 250 pounds. It has an AC of 10, HP of 22, to-hit of +4, can peck for 1d6 piercing damage. Has the effect of Featherfall.",A wood cutter's axe that deals double damage to wooden objects.,A chess board that magically moves the pieces when issued commands.,You are instantly resurrected if you are killed within 24 hours of drinking this potion.,You are immune to the Frightened condition.,"Luminescent Paint - 20 g Made from luminescent sea creatures, this paint is transparent in bright or dim light, but glows faintly in darkness. Each pot of paint is sufficient to cover 1,000 square feet of a surface. It takes 10 minutes to cover 100 square feet.",Trick Coin - Looks like a Silver Shilling but has three secret functions that you know how to use. First is a weak light. Second is a powerful magnet. Third is a d10 bomb (destroying the coin).,Boots of the winterlands,Daern's instant fortress,"Armor, +2 chain mail"
33,"Flute of Woe: When you play this flute, you can make one creature that can hear you pass a WIS save or be charmed. While charmed in this way, creature will act one of the following ways, depending on the melody: Happy: creature has adv. on attacks. Sad: creature has disadvantage on attacks. Lullaby: Creature is unconscious until takes damage. Maddening Sound: creature has short-term madness. 1 charge, restores at midnight.","Fire Mephit Lantern - A lantern with a tiny Fire Mephit inside. The Mephit can speak. The lantern casts Light out to 100 feet, and cannot be extinguished.","A small raven carved out of stone or wood. Using an action, the raven can be activated to count any humanoids (excluding allies) it sees in the immediate area. The raven doesn't fly or move, but has a 13 Perception. The raven will mentally tell it's holder if it sees one, two, three, or 'many humanoids'.",A smoking pipe that lights itself when pipeweed is put into it.,"You become extremely physically ugly for 1d4 hours, losing 2 points of CHA.",You are immune to all shape changing spells and magical effects.,"Poisoner's Scabbard - 25 g Poison must be added to scabbard as an action. On drawing a weapon, the first hit with the weapon adds poison damage according to poison added to scabbard.","Universal Pin - A hair-pin that sticks into any surface, no matter the material. Causes no pain if stuck into flesh.",Circlet of blasting,Dagger of venom,"Armor, +2 chain shirt"
34,"Devil's Wine - If a humanoid creature drinks a bottle of this reddish liquid it will think of it as the best wine it ever drank. As an action, scatter the empty bottle somewhere after and the drinker will appear right there in a twirl of smoke and ash. He or she will obey every command that you give in the next minute by using a bonus action. Perfect for a small army of innocent and disposable shields in every fight.","Flask of the Fist - When a character imbibes the contents of this flask, they gain 1d6 damage to their Unarmed strikes for 3 rounds of combat. Empowered strikes also propel Medium or smaller target backwards 20 feet.","A dragonfly carved out of jade that, when active, flies around you killing mosquitos and flies.","A coin that when flipped remains suspended in the air, spinning indefinitely until it is grabbed again.",Your size shrinks by 1d4 feet for 1d4 hours.,You have Resistance to Cold damage.,"Portable Net Trap - 120 g A portable version of the falling net trap from the DMG. Includes 30 ft of tripwire, net, net-deploying mechanism, glue for holding the mechanism, and some fake cobwebs for hiding the mechanism.","Curse Doll - Anything significant that happens to the doll happens to you, beneficial or harmful.",Deck of illusions,Dimensional shackles,Cloak of arachnida
35,"Dream Band - This simple silver and crystal circlet gives the wearer the ability to remain completely lucid while they dream, allowing them great control over themselves and the environment around them while their mind is within the Realm of Dreams. The longer and more often the circlet is worn, the more the line between dream and reality is blurred within their mind, unable to discern the difference between dream and waking. This will eventually send them into a deep sleep from which they will never awake, their mind forever lost within the dream.","Fletcher’s Mitt - A green glove that allows the user to avoid or catch a projectile. It gives the wearer a +1 AC against all ranged non-magical attacks. If the wearer completely avoids the attack, the user catches the projectile.",A tiny platinum figurine of Bahatmut that gives the bearer a +1 to Persuasion checks made against good dragons.,A white cube that turns red and emits a loud noise when within 5 feet of a fire.,The potion gives you resistance to force damage for 1d4 hours.,You have Resistance to Poison damage.,"Shrieker Spores - 20 g Spread on dead creature of size small or larger. In 2d12 hours, 1 shrieker grows to tiny size. After each day, it grows to one size larger, max medium. Add 1d4 shriekers for each size corpse above small.","Snake-Cat - A cloth toy with a snake body and cat head. Once per day you can throw it on the ground and have it transform into a real snake (STR 3, 4hp, d6 Bite, d6 STR loss on Critical Damage) or cat (STR 3, DEX 16, 4hp, d4 Claws) that loosely follows your commands. It returns to its cloth form after a few minutes.",Eversmoking bottle,Dragon slayer,Dancing sword
36,"A Different Kind Of Friend: This ring magically attunes itself to the player upon putting it on. Immediately, the ring causes the shadow of the player to stand up and wave hello. The shadow is completely silent and can only communicate through gestures. The shadow will take orders from the player, but the DM will make hidden wisdom rolls to see how the shadow reacts to the orders. If the wisdom save is passed, the shadow will act to assist the player (helping in combat, opening a door, etc.). A failed wisdom save will cause the shadow to act against the player (cutting their climbing rope, pushing them into harms way, etc.). Any damage to the shadow also injures the player. The ring can only be removed with a Remove Curse spell, or removing the finger entirely.","Focus of the Patron, Uncommon (Requires Attunement by a Warlock) - Whenever you cast your Eldritch Blast against an enemy, roll a d20. On a 20, you regain a warlock spell slot. You gain the 1st level patron ability of a patron you do not serve. Example: Awakened Mind while being a Fey Patron warlock. For the effects granted by this ability, you count as a level one Warlock. This functions as an arcane focus.",A preserved and shrunken eye set in a ring. While worn the bearer has advantage on deception checks to mimic animal sounds.,"A ball bearing that rolls back to the owner when thrown, defying gravity if it needs to.",The potion gives you resistance to lightning damage for 1d4 hours.,You have Resistance to Fire damage.,Smoke Bomb - 20 g Produces dense smoke in a 15 ft diameter for 1 minute unless dispelled by wind.,"Second-Chance Skull - If you die, your body disintegrates to ash and immediately regenerates from this skull in perfect health.",Eyes of charming,Elven chain,Demon armor
37,Mad-Ax(+3) - This hand ax was used in a brutal murder. Once the user begins their attack with this weapon they enter a bloodlust and must fight the closest target with all their attacks until the user is either incapacitated or they miss all attacks during their turn. The first attack on each different target has advantage. At the end of your turn roll a dc18 wisdom save on a success you may end your bloodlust.,"Furby of Recording - This toy looks like a tiny fey animal with big creepy eyes. The Furby can store one spell of any level and cast it automonously a given number of minutes later. Any creature can cast a spell of any level into the Furby by reciting the spell while staring into the Furby’s eyes, and then saying how many minutes later they want the spell to active. If the Furby can't hold the spell, the spell is expended without effect. The spell uses the slot level, spell save DC, spell Attack bonus, and Spellcasting ability of the original caster, but is otherwise treated as if you cast the spell. Once the Furby’s spell is expended, it can no longer be used for this purpose, but it will repeat random snippets of dialogue.","A pound of troll flesh that constantly regenerates providing enough meat every day for two humans. While edible, the meat is disgusting. When eating the meat, the creature must make a DC 10 Constitution check or vomit.","A fruit flavored hard candy that never dissolves, wrapped in thin parchment. When taken out of your mouth, the candy dries instantly and can be rewrapped without evidence of having been eaten before.",Your skin begins to harden at an alarming rate. You are turned to stone for 1d4 hours.,You have Resistance to Lightning damage.,Spider Jar - 10 g Swarm of spiders released when broken. Attack nearest character.,"Jerk Sprite - A statuette of dried meat. Whatever eats this will act like an utter jerk for the next hour, even to their most loved ones.",Eyes of the eagle,Flame tongue,Dragon scale mail
38,"Greedy Purse - Small coin purse that can hold a hoard's worth of coin. When an amount of coin is put into the purse roll a d20, on a 1 the coins are consumed and lost forever.","Glove of Magehand - Requires attunement. A magical glove you wear that will immediately conjure a permanent magehand for as long as the glove is worn, which you can use as you'd normally use magehand. You can also punch twice in 1 round of combat for 1d4 bludgeoning damage. The catch is, the conjured magehand can be attacked or damaged, and any injury inflicted on the magehand will also be inflicted to the wearer’s hand.",An outfit of clothing that never gets dirty and magically mends any rips or tears.,"A silver bell that when shaken, produces no noise despite having a clapper.","Your skin turns to metal for 1d4 hours, giving you resistance to martial attacks.",You have Resistance to Acid damage.,"Stink Bomb - 50 g Creates a 10 foot diameter sphere of yellow, nauseating gas centered on a point within range. The cloud lingers for 1 minute or until dispelled by wind. Each creature that is completely within the cloud at the start of its turn must make a Constitution saving throw against poison, DC 10. On a failed save, the creature spends its action that turn retching and reeling. Creatures that don't need to breathe or are immune to poison automatically succeed on this saving throw.","Powder Sack - Any powder stored in this small pouch becomes essentially unlimited. Turning the pouch inside out empties the current contents, with no unusual effect. Currently contains salt.",Figurine of wondrous power (silver raven),Gem of seeing,Dwarven plate
39,"Mace of Creeping Despair: This mace has no known origin. It has the ability which increases damage to limbs and bones, it constantly heals the health of it's target but does double damage to bones and ligaments. The target can never be killed by those weapon, only broken over and over again until their mind breaks to save them from the constant pain and suffering. All in the path of this mace are alive but unrecognizable as every bone in their body is broken and every ligament is torn permanently. The mind slowly decays as to save itself from the ever lasting despair with no hope of being themselves ever again.","Glutton’s Fork - Once a day, this fork will allow the user to eat any non-magical item they can fit in their mouth and regain 2d6 HP. Just tap the fork on the item and it will turn edible.",A chamber pot that disintegrates any excrement put in it.,A mirror that shows the reflection of the character as if they were the opposite gender.,Mushrooms begin to grow out of your head.,You have Resistance to Force damage.,"Vial of Lye - 25 g Neutralizes equal volume of acid. Treat as acid for damage and resistance except with oozes and other acidic creatures, when it gets +1 damage.",Star-Beacon - A heavy tyre-sized metal beacon (requires two people to carry) with a matching pin-badge. Pushing the badge teleports the wearer back to the beacon.,Gem of brightness,Giant slayer,Dwarven thrower
40,"Miasmatic Distiller - This tall, heavy piece of archaic medical equipment bristles with pipes, glass bulbs, vapor columns, spigots, and knobs. A thin, flexible tube is coiled around a snake-shaped bracket. When brought near a restrained living creature, the tube springs to life, forcing itself deep into a vein or artery. It extracts illnesses, deformities, and other afflictions one by one, a process so excruciating that many subjects die of shock. By tuning the machine, the operator can inject the afflictions into another subject, or capture them in a crystal vial in the form of a yellow fluid. If exposed to air, the fluid instantly vaporizes, inflicting the conditions on all living creatures within a 20-foot radius.",Grease Grenade - A fist-sized glass ball that spills 1d20+5 feet of Grease when and where it shatters.,"A comb made of bone that causes hair to grow 1 inch for every minute it is brushed. After a two feet of growth, the comb becomes inactive for the next 24 hours. If continued daily, the hair stops growing when it is as long as the user is tall.","A metal goblet that when filled too high, magically empties the contents of the goblet.",You feel incredibly strong! You now have the strength of a Frost Giant (23 STR) for 1d4 hours.,You have Resistance to Necrotic damage.,"Wind-Up Toy - 6 g Wind toy as an action. When released, travels 20 ft / round in a straight line, making noise.","Dire Barnacle - Three vicious little mollusks (1hp, Armour 1) that explode in a 2m blast (d8) when killed.",Gloves of missile snaring,Clamoured studded leather,Efreeti bottle
41,"The Quill of Dark Comittment - This item resembles a golden quill with an engraved bat symbol, which can actually be used to write. However, if the owner is a spell caster, she can decide to use the quill as a spell casting focus. The so casted spell does not use up spell slots. Instead the quill will drink the blood of its owner as source for the magic. For every level of the casted spell, the quill consumes blood, causing the max HP to lower by 2d4+5 for that day. After finishing a long rest the max HP are completely restored.","Hands of the Knight Initiate, Uncommon - Once per long rest you can cast Bless and Bane each once as a first level spell without using a spell slot. Gain 5 points of lay on hands per long rest.",A pin with clear glass beads that keeps natural smoke at least 1 foot away from its wearer.,A journal that insults the person who opens it,You can understand all languages for 1d4 hours.,You have Resistance to Radiant damage.,"Atlatl - 2 g A wooden handle that throws javelins. Ammunition, javelin (50 / 150) , loading, 2-handed.",Ambrosia Seed - A bag of golden seed that any animal can't resist eating if thrown. If they're smart they'll realise you have the bag when the thrown seed runs out.,Gloves of swimming and climbing,Helm of teleportation,Figurine of wondrous power (obsidian steed)
42,"Hunter's Call: Channels have been carved into this ancient seven pointed elks horn. The user chooses a target and blows into the base. A call beyond human hearing goes out and any wolves within 10 miles will feel compelled to hunt the target each night until it, or they are dead.","Haunted Doll - A very creepy-looking doll. When the owner of this doll fails a third death saving throw, the doll will die in place of its owner.",A glowing rod that drives away dampness and moisture in a 10 foot radius.,"A smooth stone, that when whispered to, retains the words given to it. Putting the stone up to your ear reveals that the stone will repeat what was whispered to it, until a new message is given to the stone.",You cannot tell a lie for 1d4 days.,You have Resistance to Thunder damage.,"Balanced Greataxe - 60 g Upon a successful hit, the player can choose to roll 1d12 damage or deal 6 slashing damage.","Haunted Egg - A stone egg that can be used as a crude weapon (d6). The last thing killed by the egg will inhabit it as a ghostly voice, and will answer questions to the best of its knowledge. It doesn't have any more knowledge than it did in life, but anyone can understand its words.",Gloves of thievery,Horn of blasting,Frost brand
43,"Blood-Letting Dagger(+3) - A character or monster, that can bleeds, bleeds 1d8 necrotic damage each round after being damaged by this weapon. This continues until the afflicted creature is healed by magic. When the user of this weapon kills a creature or character with this weapon they may make an extra attack with advantage.","Helen’s Earring - An earring that telepathically describes whatever is visible in front of the wearer, whether they can see it or not. Made by a child prodigy for their blind mother who worked tirelessly in order to pay for their magical education. Grants 60ft of Blindsight.",A set of seven glowing magical gems that can be set to continuously swirl around a figure.,"A seashell which, when left undisturbed, moves 1 inch towards the nearest ocean or sea each day.",You regain all of your spell slots.,You have Resistance to Psychic damage.,Bear Spear - 80 g 1d12 piercing. Two handed. Heavy.,Tiny Shield Generator - A rat-sized collar that will creates a force-field (Armour 3) around the wearer. Only works on subjects of chicken-size or smaller.,Headband of intellect,Horn of Valhalla (silver or brass),Helm of brilliance
44,"Albert’s Tongue – A small leather pouch, containing the withered tongue of a master haggler from the slave markets at the azure coast. As long as you are attuned to this item you will get higher prices when selling slaves.","Holethrower - A plain-looking wooden slingshot with an intricately carved handle. Once a day, this slingshot can fire any unmodified projectile and create a 1d20-feet-wide circular hole on any non-magical, non-living object or barrier.","A two-inch tall wooden totem of an animal (bear, pig, goat, etc.). The totem can be activated using an action to summon a 6-inch tall, friendly spirit animal. The animal is playful, non-aggressive, and remains within 5 feet of the user. If attacked, the spirit disappears into a cloud of smoke and is pulled back into the totem. The spirit can also be pulled back into the totem using an action.","A pair of glasses with no arms/temples, that hover in the air just in front of the face.","You are able to pass through walls that are 1ft. thick, like a ghost.","As a bonus action, choose a creature within 30 feet of you that you can see. For 1 minute, if either of you try to touch the other (including melee attacks) then they will instead be pushed back 5 feet. (1/Day)",Blowgun Staff - 20 g Works as both a blowgun and a quarterstaff.,Echojector - Hears up to ten seconds of sound and repeats it at vastly increased volume on command.,Helm of telepathy,Instrument of the bards (Canaithmandolin),Horn ofValhalla (bronze)
45,"Hellfire and Brimstone - Twin +2 daggers that deal additional Fire and Necrotic Damage, but also double or halve the effects of hemocraft (blood magic).",Horn of Hearing - A copper horn that allows the user have advantage to Perception rolls based on hearing when used. Made for an aging grandmother so that she could hear her grandkids better.,A small blank book. As an action you can magically copy a page from another book or other document into this book. The copy remains until you will it to be erased or copy another document.,A comb which changes the hair it combs to a random color each day.,"When you drink this potion, you gain the effect of the detect thoughts spell (save DC 13).","As an action, Choose an Elemental within 60 feet of you that you can see. The Elemental is immediately destroyed. (1/Week)","Bola - 10 g No damage. Thrown. If hits, DEX contest to trip.",Doom Siren - A tiny clockwork box lets out a booming drone when a being within 10ft dies.,Instrument of the bards (Doss lute),Instrument ofthe bards (Cii lyre),Instrument of the bards (Anstruthharp)
46,"Soul Drain Dagger - Soul Drain Arrow - Hit a non magical, living creature, that has a soul and less than 50% of its HP with a soul drain dagger or arrow and it will get stuck in the creature. Every turn it sticks in the creature, the creature takes 1d4 necrotic damage and obeys commands of you, if you are within 60ft. The creature can make a DC 15 WIS saving throw at the start of every turn to break the curse and remove the weapon. The creature takes no action if you don't order an action. It takes a bonus action to command one or more creatures. Once the creature dies, the dagger or arrow will consume its soul, making it impossible to revive the creature and then loosen itself from the corpse.","Jack O’Lantern - A carved pumpkin with a candle inside. Projects light in a 10ft radius and dim light in a 30ft radius. Can be used once to summon the Headless Horseman to fight beside you in one battle, whereupon he takes the lantern and leaves with it. If an ally is beheaded in combat, their head can be replaced with the pumpkin to resurrect them with 1 HP.",A staff that can be turned into a tree or back into a staff.,A bag of blue marbles. Each marble hums in a soft harmonious tone when rolled.,You suddenly forget the last language you spoke for 1d4 days.,"As a bonus action, all non-magical wooden objects that are not either fixed to the ground or another non-wooden object are pushed back 30 feet away from you. If the object is fixed and fragile then it is destroyed. (1/day)","Crystal Dagger - 100 g Non-metal. Cannot be rusted, corroded, or affected by heat metal. Can be used as an arcane focus.",Stick Eye - A glass eye on a stick that the holder can see through.,Instrument of the bards (Fochlucan bandore),loun stone (awareness),loun stone (absorption)
47,"Screaming Mask: When you look through the eyeholes of this wooden mask you have Truesight, but you also see shadow creatures that will attack you, if they notice that you are watching.","Jar of Bees - A jar of bees. The lid is a screen so they can breathe. If thrown up to 50 feet, it will smash and distract enemies with 1d6 piercing damage for 6 seconds.",A fish mask that lets you hold your breath twice as long as normal.,A compass that always points to the closest rabbit.,The ends of your fingers become very sticky. You can now climb walls for 1d4 hours.,"As a bonus action, choose a creature within 30 feet of you that you can see. That creature may take an Action. (1/Day)","Dwarven War Mattock - 40 g Versatile (1d8 one handed, 1d10 two-handed). Piercing or slashing.",Champion's Mark - When you defeat a willing opponent unarmed (even as part of a group) you glow with health and gain the immediate effects of a Short Rest. If anyone defeats you unarmed the Mark transfers to them.,Instrument of the bards (Mac-Fuimidh cittern),loun stone (protection),loun stone (agility)
48,"The Right Hand of Tymareus - A black leather finger glove once worn by the Great Bard Tymareus and taken from his body after his assassination. Requires attunement by a bard. Once equipped on one's right hand, the wearer's CHA increases by +2, but the wearer must inflict at least 5 points of psychic damage each day or else suffer 20 points of psychic damage at a time of the DM's choosing the next day. Cannot be removed without a Remove Curse spell.",Joshua’s Sandals - A pair of leather sandals that allow the wearer to walk on water.,A petrified rat brain that lets you cast dominate monster once per long rest on a small or tiny rat or mouse.,A torch that is always wet and dripping. It only ignites when submerged in water.,You are instantly teleported to the nearest body of water.,"As an action, for the next 2 hours you have +5 to Initive rolls and you cannot become surprised. (1/Day)","Flask Thrower - 15 g Pole with a pouch at the end (similar to lacrosse stick). Can throw any flask (30/80). Strength modifier to hit. Two handed, loading.",Hell Spice - Extremely concentrated powdered hot spice. Enough to sabotage three meals.,Medallion of thoughts,loun stone (reserve),loun stone (fortitude)
49,"The Book of Fate's Mercies: This book details incidents where people were saved from death by random chance. For example, a barking dog caused someone to walk just a little quicker down the street, which moved them out of the path of a stampeding horse. The book is magically captivating, once you start reading it you need a DC 15 Charisma saving throw to stop before the end. The last story in the book is about you. If you finish reading the book, you gain advantage on Dexterity saving throws, but become utterly paranoid and agoraphobic.",Lens of Tracking - A monocle that allows the user to once a day see the footprints of a specific person or creature that has been within the area.,A gold coin that you can summon back to your hand as long as it's within 20 feet.,A gaming die that announces the number it rolled in a soft spoken feminine voice.,You lose your reflection permanently.,"As a reaction, turn any Critical Hit against you into a normal Hit. (3/Day)",Glaive-Guisarme - 30 g Glaive properties. Can use hook to attempt a grapple against mounted troops.,"Bear Jelly - A pot of jelly that reeks of animal musk. Will scare off small creatures, but attract any large mammals.",Necklace of adaptation,loun stone (sustenance),loun stone (insight)
50,"The Silver Tongue - This is a small piece of pure silver, carved in the shape of a forked tongue, about as large as your hand. Attuning to this object grants you advantage on one charisma-based skill of your choice - however, the only way to attune yourself to this object is to carve out your own tongue and place the Silver Tongue in your mouth, allowing it to fuse with your mouth and become your new, functional tongue. Attuning is automatic for as long as you have it in your mouth - which would be forever, as it won't come out from your mouth for as long as you are alive.","Les Stroud’s Pocket Guide to Adventuring - Once per day, the owner of this guide may read a section associated with a particular skill to gain Advantage on all rolls relating to that skill for the next 24 hours. The owner may also read the passage out loud to grant one additional party member the same benefit.","A small red gem that is warm to the touch. When the gem is placed on inanimate flammable material, the material catches on fire in 1d4 rounds.",A harp that sounds like a flute when played.,The potion gives you resistance to psychic damage for 1d4 hours.,"As a reaction, you may give an attack against you Disadvantage. (2/Day)","Harpoon - 20 g Spear properties, but has 30 ft rope attached. Can pull opponent up to 20 ft with successful STR contest. Rope breaks on opponent's STR DC of 17.","Sub-Flare - A one shot pistol that launches a burning flare immediately skywards, burning through any substance in the way and leading a fist-width hole.",Periapt of wound closure,Iron bands of Bilarro,loun stone (intellect)
51,"Cloak of Reptilekind - A cloth cloak lined with Reptile skins. When worn with the Reptile skins inward, the cloak grants invisibility and feels incredibly good to wear. Safe. As time goes on, the reptile skins begin to bind to the skin of a wearer, slowly morphing them into servants of a terrifying reptile god.","Leviathan Axe - A bearded axe with a mythril blade, inscribed with mystical scrollwork. The handle is made from the arm of a Treant. The axe deals 1d8 + 5 Slashing damage. If thrown, the axe will return to the wielder’s hand in 1d4 rounds unless grabbed and held with Str against a DC 18. On a nat 20 attack roll, it will also deal 1d6 Cold damage.",A small magical snake that can take the form of a tattoo on one of your arms. Once per day while the snake is a tattoo you may add 1d4 to a persuasion checks.,A spinning top which sparks with harmless electricity when spun.,Your hair has the effect of being underwater permanently.,"As a bonus action, any attacks you make until the beginning of your next turn Critical Hit on an 18, 19, or 20. (1/Day)",Mancatcher - 30 g No damage. Reach. Two Handed. Can grapple with reach.,"Orphan's Ruin - 6oz of Milky drink. 1oz pacifies any unease, 2oz causes a deep sleep, 3oz eternal sleep.",Pipes of haunting,"Armor, + 1 leather",loun stone (leadership)
52,"Pride of the Gnarlroot Hunt - The mounted head of a powerful sable greatstag with a majestic rack of antlers nearly ten arm-spans wide. The work of a master taxidermist, you can almost see plumes of morning frost puff from its nostrils. When mounted to the wall of a house, the owner becomes extremely protective of it, and will only allow it to be moved to a more prominent place. All residents of the house become much more prone to fatal accidents, especially during a hunt.","Lucky Penny - If a player gets a nat 1 on a Perception check, roll 1d4. On a 4, the character finds a Lucky Penny. The next time they roll a nat 1, they get a reroll and the Lucky Penny becomes a normal copper.","A holy symbol of Chauntea that you can activate once per day to weed, water, and care for a field of crops no larger than half an acre.",A bow which says 'miss' in a monotone gnomish voice whenever you miss a target.,You instantly become 1d6 years older,"As a bonus action, you gain fly speed of 30ft for 1 minute. (1/Day)",Naval Cutlass - 60 g Scimitar properties. No disadvantage when used in water.,"Steel Goggles - When switched on, objects that have a current owner glow faintly green, objects that have been taken from their rightful owner glow red. Objects that have no current claimant look normal.",Pipes of the sewers,Armor of resistance (leather),loun stone (strength)
